"feature","team","label"
"[41,84,77,59]",32,"[1,0,0,0]"
"[46,86,78,62]",32,"[1,0,0,0]"
"[64,84,76,64]",32,"[1,0,0,0]"
"[57,77,78,70]",32,"[1,0,0,0]"
"[52,82,78,64]",32,"[1,0,0,0]"
"[40,76,78,66]",32,"[1,0,0,0]"
"[43,74,80,65]",32,"[1,0,0,0]"
"[46,84,78,64]",32,"[1,0,0,0]"
"[44,80,79,66]",32,"[1,0,0,0]"
"[60,83,78,68]",32,"[1,0,0,0]"
"[52,79,78,73]",32,"[1,0,0,0]"
"[46,77,77,66]",32,"[1,0,0,0]"
"[46,81,79,64]",32,"[1,0,0,0]"
"[42,78,77,67]",32,"[1,0,0,0]"
"[42,80,78,62]",32,"[1,0,0,0]"
"[41,79,76,67]",32,"[1,0,0,0]"
"[45,83,79,69]",32,"[1,0,0,0]"
"[47,76,81,65]",32,"[1,0,0,0]"
"[53,80,79,70]",32,"[1,0,0,0]"
"[63,78,80,77]",32,"[1,0,0,0]"
"[57,81,79,70]",32,"[1,0,0,0]"
"[60,78,80,71]",32,"[1,0,0,0]"
"[43,85,83,60]",32,"[1,0,0,0]"
"[43,84,80,71]",32,"[1,0,0,0]"
"[60,72,80,43]",29,"[0,0,0,1]"
"[45,72,80,44]",29,"[0,0,0,1]"
"[56,82,80,57]",32,"[1,0,0,0]"
"[53,74,80,59]",32,"[1,0,0,0]"
"[56,79,80,60]",32,"[1,0,0,0]"
"[66,81,80,51]",29,"[0,0,0,1]"
"[56,74,78,83]",32,"[1,0,0,0]"
"[44,77,81,69]",32,"[1,0,0,0]"
"[70,70,80,63]",29,"[0,0,0,1]"
"[70,83,80,63]",29,"[0,0,0,1]"
"[54,77,78,67]",32,"[1,0,0,0]"
"[54,80,78,76]",32,"[1,0,0,0]"
"[72,75,76,65]",29,"[0,0,0,1]"
"[58,77,80,81]",32,"[1,0,0,0]"
"[43,74,80,68]",32,"[1,0,0,0]"
"[44,76,76,66]",32,"[1,0,0,0]"
"[45,81,77,63]",32,"[1,0,0,0]"
"[44,81,77,66]",32,"[1,0,0,0]"
"[76,76,80,68]",29,"[0,0,0,1]"
"[68,82,80,64]",29,"[0,0,0,1]"
"[60,78,76,64]",32,"[1,0,0,0]"
"[68,85,77,63]",29,"[0,0,0,1]"
"[45,79,77,62]",32,"[1,0,0,0]"
"[44,81,81,62]",32,"[1,0,0,0]"
"[44,79,77,64]",32,"[1,0,0,0]"
"[45,80,78,69]",32,"[1,0,0,0]"
"[67,74,78,64]",29,"[0,0,0,1]"
"[45,74,73,66]",32,"[1,0,0,0]"
"[65,75,78,64]",29,"[0,0,0,1]"
"[44,76,80,67]",32,"[1,0,0,0]"
"[49,79,78,74]",32,"[1,0,0,0]"
"[71,76,78,76]",32,"[1,0,0,0]"
"[49,78,80,68]",32,"[1,0,0,0]"
"[65,74,79,64]",29,"[0,0,0,1]"
"[62,80,77,61]",29,"[0,0,0,1]"
"[50,74,79,72]",32,"[1,0,0,0]"
"[78,73,79,60]",29,"[0,0,0,1]"
"[50,77,78,73]",32,"[1,0,0,0]"
"[61,78,80,67]",32,"[1,0,0,0]"
"[63,75,79,66]",32,"[1,0,0,0]"
"[50,76,80,66]",32,"[1,0,0,0]"
"[50,74,75,75]",32,"[1,0,0,0]"
"[54,75,80,67]",32,"[1,0,0,0]"
"[65,77,79,76]",32,"[1,0,0,0]"
"[64,81,80,67]",32,"[1,0,0,0]"
"[47,74,79,71]",32,"[1,0,0,0]"
"[57,74,80,73]",32,"[1,0,0,0]"
"[50,75,79,69]",32,"[1,0,0,0]"
"[61,73,77,64]",32,"[1,0,0,0]"
"[72,76,79,64]",29,"[0,0,0,1]"
"[68,73,78,66]",29,"[0,0,0,1]"
"[43,77,78,65]",32,"[1,0,0,0]"
"[46,77,79,62]",32,"[1,0,0,0]"
"[39,74,78,69]",32,"[1,0,0,0]"
"[40,77,76,67]",32,"[1,0,0,0]"
"[41,72,80,68]",32,"[1,0,0,0]"
"[41,79,78,69]",32,"[1,0,0,0]"
"[49,76,81,66]",32,"[1,0,0,0]"
"[76,62,82,77]",14,"[0,1,0,0]"
"[83,63,72,89]",14,"[0,1,0,0]"
"[89,59,87,85]",14,"[0,1,0,0]"
"[89,64,86,85]",14,"[0,1,0,0]"
"[88,47,80,75]",14,"[0,1,0,0]"
"[73,58,87,83]",14,"[0,1,0,0]"
"[77,63,82,90]",14,"[0,1,0,0]"
"[77,45,87,89]",14,"[0,1,0,0]"
"[82,59,90,88]",14,"[0,1,0,0]"
"[89,46,73,74]",14,"[0,1,0,0]"
"[76,55,84,81]",14,"[0,1,0,0]"
"[90,48,84,74]",14,"[0,1,0,0]"
"[85,61,77,71]",14,"[0,1,0,0]"
"[76,66,88,86]",14,"[0,1,0,0]"
"[72,65,71,84]",14,"[0,1,0,0]"
"[84,67,74,82]",14,"[0,1,0,0]"
"[77,65,74,78]",14,"[0,1,0,0]"
"[77,54,80,84]",14,"[0,1,0,0]"
"[80,54,79,78]",14,"[0,1,0,0]"
"[75,63,83,76]",14,"[0,1,0,0]"
"[76,45,71,72]",14,"[0,1,0,0]"
"[73,67,71,71]",14,"[0,1,0,0]"
"[72,49,86,79]",14,"[0,1,0,0]"
"[73,54,76,71]",14,"[0,1,0,0]"
"[87,65,76,87]",14,"[0,1,0,0]"
"[80,62,85,81]",14,"[0,1,0,0]"
"[75,66,88,78]",14,"[0,1,0,0]"
"[84,46,71,88]",14,"[0,1,0,0]"
"[77,61,89,78]",14,"[0,1,0,0]"
"[83,47,76,79]",14,"[0,1,0,0]"
"[78,67,82,75]",14,"[0,1,0,0]"
"[77,66,79,88]",14,"[0,1,0,0]"
"[89,52,73,80]",14,"[0,1,0,0]"
"[77,47,87,82]",14,"[0,1,0,0]"
